id,condition,v1_item,v1_Q1,v1_Q2,v1_Q3,v1_Q4,v2_item,v2_Q1,v2_Q2,v2_Q3,v2_Q4,v3_item,v3_Q1,v3_Q2,v3_Q3,v3_Q4,item_reported
1,congruent,coin,,42,45,44,coin,,44,34,43,coin,,47,43,48,999
2,congruent,coin,,49,53,49,coin,,40,58,56,coin,,86,86,84,1
3,congruent,coin,,38,36,43,coin,,45,40,35,coin,,41,42,39,999
4,congruent,coin,,45,46,47,coin,,44,45,45,coin,,33,39,35,999
5,congruent,coin,,53,48,62,coin,,56,45,58,coin,,20,24,23,999
6,congruent,coin,,32,31,30,coin,,30,33,28,coin,,58,52,60,1
7,congruent,coin,,41,41,39,coin,,29,39,37,coin,,41,43,38,999
8,congruent,coin,,55,48,58,coin,,62,50,59,coin,,20,24,25,0
9,congruent,coin,,54,61,62,coin,,61,59,54,coin,,80,81,78,1
10,congruent,coin,,70,74,72,coin,,71,82,59,coin,,58,60,65,1
11,congruent,coin,,18,16,20,coin,,13,21,19,coin,,53,55,58,999
12,congruent,coin,,45,39,45,coin,,41,47,49,coin,,73,72,81,999
13,congruent,coin,,51,53,50,coin,,56,57,44,coin,,60,69,58,999
14,congruent,coin,,48,43,53,coin,,46,41,54,coin,,38,38,35,999
15,congruent,coin,,34,34,35,coin,,33,27,37,coin,,30,35,32,999
16,congruent,coin,,46,38,52,coin,,43,33,48,coin,,58,51,47,999
17,congruent,coin,,72,79,71,coin,,72,70,65,coin,,25,26,30,999
18,congruent,coin,,38,40,43,coin,,33,39,36,coin,,49,53,46,999
19,congruent,coin,,71,71,69,coin,,70,73,71,coin,,57,54,54,999
20,congruent,coin,,46,49,45,coin,,38,50,45,coin,,64,60,51,0
21,congruent,coin,,59,61,50,coin,,55,69,48,coin,,46,48,44,999
22,congruent,coin,,49,49,40,coin,,47,43,43,coin,,36,33,36,999
23,congruent,coin,,40,34,42,coin,,42,43,46,coin,,53,49,56,1
24,congruent,coin,,29,37,25,coin,,26,38,19,coin,,51,53,55,999
25,congruent,coin,,51,53,44,coin,,47,50,36,coin,,31,23,39,0
26,congruent,coin,,43,45,41,coin,,48,53,38,coin,,62,64,62,1
27,congruent,coin,,59,57,47,coin,,60,62,52,coin,,25,29,25,999
28,congruent,coin,,53,52,55,coin,,59,50,59,coin,,33,37,36,999
29,congruent,coin,,52,55,58,coin,,42,55,56,coin,,65,60,63,999
30,congruent,coin,,42,43,48,coin,,50,43,48,coin,,42,43,42,999
31,congruent,coin,,39,35,33,coin,,35,32,39,coin,,58,59,57,999
32,congruent,coin,,61,56,57,coin,,55,54,59,coin,,53,56,56,999
33,congruent,coin,,25,23,25,coin,,24,16,31,coin,,45,45,45,0
34,congruent,coin,,44,35,38,coin,,42,35,41,coin,,41,37,43,999
35,congruent,coin,,70,74,71,coin,,67,75,69,coin,,40,39,41,1
36,congruent,coin,,41,42,39,coin,,42,47,41,coin,,43,37,46,0
37,congruent,coin,,53,57,55,coin,,57,57,59,coin,,78,76,79,1
38,congruent,coin,,87,89,84,coin,,87,87,84,coin,,60,64,62,999
39,congruent,coin,,55,47,58,coin,,56,43,57,coin,,87,89,86,1
40,congruent,coin,,26,28,27,coin,,20,25,26,coin,,81,88,95,1
41,congruent,coin,,42,43,31,coin,,42,42,31,coin,,48,40,40,999
42,congruent,coin,,32,28,31,coin,,24,32,21,coin,,71,72,71,999
43,congruent,coin,,54,62,52,coin,,47,75,55,coin,,65,67,64,1
44,congruent,coin,,47,51,40,coin,,52,50,47,coin,,47,45,61,999
45,congruent,coin,,57,60,64,coin,,54,56,60,coin,,45,39,43,999
46,congruent,coin,,56,54,63,coin,,58,49,56,coin,,50,49,49,999
47,congruent,coin,,52,46,52,coin,,44,46,44,coin,,38,46,41,999
48,congruent,coin,,29,20,36,coin,,30,8,25,coin,,54,57,59,999
49,congruent,coin,,41,41,38,coin,,41,45,34,coin,,34,26,32,999
50,congruent,coin,,47,43,40,coin,,52,47,38,coin,,43,47,39,999
51,congruent,coin,,32,29,25,coin,,28,30,24,coin,,45,41,59,999
52,congruent,coin,,51,52,49,coin,,50,56,53,coin,,52,45,51,999
53,congruent,coin,,26,31,28,coin,,28,27,21,coin,,39,41,36,999
54,congruent,card,,48,44,43,card,,39,34,47,card,,50,38,53,0
55,congruent,card,,50,49,49,card,,46,40,47,card,,18,17,19,999
56,congruent,card,,32,35,21,card,,34,35,16,card,,33,27,42,0
57,congruent,card,,37,42,38,card,,45,30,33,card,,60,61,67,999
58,congruent,card,,66,59,68,card,,68,60,70,card,,54,44,53,999
59,congruent,card,,71,59,72,card,,68,61,69,card,,41,45,46,999
60,congruent,card,,46,41,44,card,,45,35,49,card,,60,52,65,0
61,congruent,card,,47,47,47,card,,49,51,43,card,,51,52,48,999
62,congruent,card,,54,48,52,card,,52,49,38,card,,58,52,58,1
63,congruent,card,,90,90,93,card,,96,89,96,card,,90,94,96,1
64,congruent,card,,46,37,41,card,,53,37,36,card,,49,51,49,999
65,congruent,card,,58,54,56,card,,53,58,55,card,,56,53,56,999
66,congruent,card,,38,43,38,card,,36,43,30,card,,63,73,69,999
67,congruent,card,,71,66,70,card,,61,70,68,card,,42,47,39,1
68,congruent,card,,52,46,49,card,,56,46,54,card,,39,39,37,999
69,congruent,card,,54,55,57,card,,52,50,52,card,,90,92,95,1
70,congruent,card,,65,61,65,card,,71,63,73,card,,38,39,40,999
71,congruent,card,,41,37,56,card,,42,39,45,card,,74,74,75,0
72,congruent,card,,68,66,66,card,,76,66,57,card,,40,41,42,999
73,congruent,card,,78,73,77,card,,76,72,78,card,,48,40,45,999
74,congruent,card,,61,71,68,card,,57,63,70,card,,25,26,27,0
75,congruent,card,,46,40,45,card,,44,32,41,card,,49,54,47,999
76,congruent,card,,55,52,55,card,,51,47,57,card,,47,37,45,0
77,congruent,card,,47,50,36,card,,51,45,38,card,,20,24,17,999
78,congruent,card,,60,52,61,card,,57,55,51,card,,20,19,22,999
79,congruent,card,,32,38,31,card,,24,37,29,card,,63,56,62,0
80,congruent,card,,34,32,34,card,,34,33,44,card,,55,60,49,999
81,congruent,card,,42,33,46,card,,53,27,49,card,,32,30,26,999
82,congruent,card,,52,49,41,card,,56,49,37,card,,37,37,44,999
83,congruent,card,,36,33,39,card,,34,35,40,card,,25,18,33,999
84,congruent,card,,41,41,33,card,,47,42,29,card,,47,45,45,999
85,congruent,card,,49,51,45,card,,45,58,44,card,,35,43,34,0
86,congruent,card,,36,41,35,card,,34,30,31,card,,48,41,54,999
87,congruent,card,,45,43,41,card,,42,39,49,card,,54,51,55,999
88,congruent,card,,47,56,47,card,,55,57,45,card,,44,52,47,999
89,congruent,card,,36,29,40,card,,41,18,34,card,,57,62,60,999
90,congruent,card,,48,42,48,card,,48,35,50,card,,63,60,58,0
91,congruent,card,,38,34,42,card,,41,39,45,card,,35,36,32,999
92,congruent,card,,57,58,66,card,,64,51,72,card,,98,96,94,1
93,congruent,card,,53,62,54,card,,54,67,52,card,,28,23,25,999
94,congruent,card,,36,33,43,card,,43,35,39,card,,54,48,52,999
95,congruent,card,,65,62,66,card,,72,63,63,card,,40,35,46,999
96,congruent,card,,37,30,38,card,,42,32,42,card,,45,43,46,0
97,congruent,card,,62,67,67,card,,54,68,61,card,,57,61,56,1
98,congruent,card,,77,70,75,card,,71,65,76,card,,46,49,39,999
99,congruent,card,,28,21,24,card,,25,16,21,card,,86,89,84,1
100,congruent,card,,58,51,52,card,,59,55,59,card,,51,50,49,999
101,congruent,card,,79,78,74,card,,78,81,75,card,,72,62,88,999
102,congruent,card,,81,77,80,card,,78,75,74,card,,53,54,59,1
103,congruent,card,,41,44,36,card,,35,47,29,card,,72,68,71,999
104,congruent,card,,41,32,34,card,,35,35,26,card,,47,51,49,0
105,congruent,card,,50,52,56,card,,46,40,52,card,,54,49,51,999
106,congruent,card,,36,37,40,card,,31,36,39,card,,42,42,36,0
107,congruent,handkerchief,,50,47,58,handkerchief,,37,42,52,handkerchief,,42,42,46,999
108,congruent,handkerchief,,46,50,49,handkerchief,,53,47,57,handkerchief,,43,44,45,999
109,congruent,handkerchief,,58,58,52,handkerchief,,53,43,51,handkerchief,,19,17,31,0
110,congruent,handkerchief,,78,74,81,handkerchief,,81,70,76,handkerchief,,30,32,35,999
111,congruent,handkerchief,,61,65,59,handkerchief,,65,67,67,handkerchief,,41,38,36,999
112,congruent,handkerchief,,27,18,26,handkerchief,,24,22,22,handkerchief,,30,27,27,999
113,congruent,handkerchief,,39,39,36,handkerchief,,38,31,39,handkerchief,,51,60,45,999
114,congruent,handkerchief,,52,55,53,handkerchief,,62,58,50,handkerchief,,67,67,69,0
115,congruent,handkerchief,,48,44,46,handkerchief,,44,44,46,handkerchief,,47,44,52,0
116,congruent,handkerchief,,52,45,51,handkerchief,,43,41,49,handkerchief,,27,29,29,999
117,congruent,handkerchief,,62,66,70,handkerchief,,56,53,69,handkerchief,,63,66,65,0
118,congruent,handkerchief,,41,44,38,handkerchief,,33,42,39,handkerchief,,28,23,33,999
119,congruent,handkerchief,,27,27,21,handkerchief,,24,29,15,handkerchief,,25,21,24,999
120,congruent,handkerchief,,45,48,50,handkerchief,,44,50,45,handkerchief,,59,61,61,0
121,congruent,handkerchief,,41,48,47,handkerchief,,46,47,47,handkerchief,,39,35,42,999
122,congruent,handkerchief,,35,35,34,handkerchief,,35,31,34,handkerchief,,40,39,43,0
123,congruent,handkerchief,,53,47,47,handkerchief,,61,53,43,handkerchief,,34,30,31,0
124,congruent,handkerchief,,38,36,41,handkerchief,,45,36,39,handkerchief,,49,44,48,999
125,congruent,handkerchief,,61,56,59,handkerchief,,60,54,65,handkerchief,,59,54,60,999
126,congruent,handkerchief,,53,46,54,handkerchief,,57,48,57,handkerchief,,14,11,18,999
127,congruent,handkerchief,,58,54,62,handkerchief,,54,47,71,handkerchief,,66,69,59,999
128,congruent,handkerchief,,49,60,43,handkerchief,,55,64,48,handkerchief,,35,35,33,999
129,congruent,handkerchief,,64,69,67,handkerchief,,65,73,74,handkerchief,,57,57,56,0
130,congruent,handkerchief,,55,52,54,handkerchief,,49,50,50,handkerchief,,63,65,60,1
131,congruent,handkerchief,,35,37,33,handkerchief,,29,40,31,handkerchief,,24,29,20,999
132,congruent,handkerchief,,47,52,51,handkerchief,,38,43,48,handkerchief,,46,46,48,999
133,congruent,handkerchief,,45,47,47,handkerchief,,41,53,34,handkerchief,,27,29,37,999
134,congruent,handkerchief,,45,41,44,handkerchief,,41,35,41,handkerchief,,54,50,54,1
135,congruent,handkerchief,,47,49,51,handkerchief,,40,53,47,handkerchief,,50,53,49,999
136,congruent,handkerchief,,71,80,76,handkerchief,,75,70,76,handkerchief,,55,46,54,999
137,congruent,handkerchief,,34,35,38,handkerchief,,35,38,34,handkerchief,,62,58,62,999
138,congruent,handkerchief,,56,51,57,handkerchief,,58,46,73,handkerchief,,37,30,29,999
139,congruent,handkerchief,,56,56,59,handkerchief,,47,60,53,handkerchief,,46,50,41,0
140,congruent,handkerchief,,51,46,44,handkerchief,,53,41,42,handkerchief,,46,46,50,999
141,congruent,handkerchief,,46,43,49,handkerchief,,50,44,43,handkerchief,,90,94,98,1
142,congruent,handkerchief,,37,35,41,handkerchief,,39,39,33,handkerchief,,47,56,49,999
143,congruent,handkerchief,,90,95,85,handkerchief,,86,95,79,handkerchief,,46,43,43,999
144,congruent,handkerchief,,46,37,40,handkerchief,,48,36,44,handkerchief,,32,32,35,0
145,congruent,handkerchief,,51,49,59,handkerchief,,46,42,56,handkerchief,,80,75,79,999
146,congruent,handkerchief,,30,27,23,handkerchief,,28,27,16,handkerchief,,23,21,25,0
147,congruent,handkerchief,,41,42,44,handkerchief,,37,37,49,handkerchief,,45,46,46,999
148,congruent,handkerchief,,46,40,50,handkerchief,,40,34,56,handkerchief,,60,66,62,999
149,congruent,handkerchief,,72,70,74,handkerchief,,73,77,76,handkerchief,,0,0,0,999
150,congruent,handkerchief,,68,54,67,handkerchief,,67,52,60,handkerchief,,45,45,42,0
151,congruent,handkerchief,,49,56,57,handkerchief,,46,56,56,handkerchief,,60,54,50,1
152,congruent,handkerchief,,51,47,58,handkerchief,,50,41,55,handkerchief,,48,46,46,999
153,congruent,handkerchief,,39,39,34,handkerchief,,35,35,32,handkerchief,,49,51,41,0
154,congruent,handkerchief,,50,46,50,handkerchief,,45,54,48,handkerchief,,37,35,33,999
